structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
IPR001309,9,14,162,20230,7.48402709275426e-14,8.0827492601746e-12,0.000231481481481481,1.90459534198926,./generated_files/OUT/OUT
IPR015917,9,13,162,20230,4.5864693199219e-14,8.0827492601746e-12,0.000231481481481481,1.93678002536066,./generated_files/OUT/OUT
IPR002138,8,12,162,20230,1.54863027144864e-12,1.11501379544302e-10,0.000231481481481481,1.92038960917249,./generated_files/OUT/OUT
IPR001315,6,28,162,20230,2.56299505412702e-07,1.38401732922859e-05,0.000231481481481481,1.4274740872696,./generated_files/OUT/OUT
IPR023753,4,12,162,20230,6.48405448713323e-06,0.000280111153844156,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR001875,3,7,162,20230,5.66908288343607e-05,0.00204086983803699,0.000231481481481481,1.72850408293358,./generated_files/OUT/OUT
IPR000889,3,8,162,20230,7.74951131647718e-05,0.00209236805544884,0.000231481481481481,1.67051213595589,./generated_files/OUT/OUT
IPR002475,3,8,162,20230,7.74951131647718e-05,0.00209236805544884,0.000231481481481481,1.67051213595589,./generated_files/OUT/OUT
IPR003175,2,3,162,20230,0.000617466078731829,0.0121247884550977,0.000231481481481481,1.92038960917249,./generated_files/OUT/OUT
IPR004367,3,17,162,20230,0.000508002413092436,0.0121247884550977,0.000231481481481481,1.34315320156956,./generated_files/OUT/OUT
IPR028182,2,3,162,20230,0.000617466078731829,0.0121247884550977,0.000231481481481481,1.92038960917249,./generated_files/OUT/OUT
IPR001134,3,22,162,20230,0.000995492684174046,0.0179188683151328,0.000231481481481481,1.23117944212563,./generated_files/OUT/OUT
IPR006639,2,5,162,20230,0.0012831769273925,0.01979758687977,0.000231481481481481,1.69854085955614,./generated_files/OUT/OUT
IPR017896,2,5,162,20230,0.0012831769273925,0.01979758687977,0.000231481481481481,1.69854085955614,./generated_files/OUT/OUT
IPR002087,2,6,162,20230,0.00170198013388472,0.02450851392794,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR006671,3,34,162,20230,0.00313664365245427,0.0423446893081326,0.000231481481481481,1.04212320590558,./generated_files/OUT/OUT
IPR013763,3,38,162,20230,0.00420477729882058,0.0534254056791321,0.000231481481481481,0.993818526331026,./generated_files/OUT/OUT
IPR004038,2,11,162,20230,0.00461911242529374,0.0554293491035249,0.000231481481481481,1.35611817873393,./generated_files/OUT/OUT
IPR005189,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR028202,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR031162,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR000433,2,18,162,20230,0.0108495653998564,0.0680981530461875,0.000231481481481481,1.14223835878885,./generated_files/OUT/OUT
IPR005720,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR008332,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR020602,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR016337,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR010479,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
