structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
f.1.4.0,4,9,162,20230,2.59517121348248e-06,0.000347752942606652,0.000373134328358209,1.74429835011681,./generated_files/OUT/OUT
a.77.1.3,5,28,162,20230,5.8973453718553e-06,0.000395122139914305,0.000373134328358209,1.34829284122197,./generated_files/OUT/OUT
a.77.1.4,3,7,162,20230,5.66908288343607e-05,0.00253219035460144,0.000373134328358209,1.72850408293358,./generated_files/OUT/OUT
c.4.1.1,2,5,162,20230,0.0012831769273925,0.0429864270676488,0.000373134328358209,1.69854085955614,./generated_files/OUT/OUT
d.79.3.1,2,11,162,20230,0.00461911242529374,0.103160177498227,0.000373134328358209,1.35611817873393,./generated_files/OUT/OUT
a.74.1.1,3,37,162,20230,0.00391972770352467,0.103160177498227,0.000373134328358209,1.00540039888084,./generated_files/OUT/OUT
d.96.1.1,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
g.44.1.6,2,18,162,20230,0.0108495653998564,0.111613949334654,0.000373134328358209,1.14223835878885,./generated_files/OUT/OUT
d.44.1.0,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
a.164.1.1,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
a.7.4.1,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
a.4.2.1,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
a.21.1.1,2,20,162,20230,0.0130547319534915,0.111613949334654,0.000373134328358209,1.09648086822817,./generated_files/OUT/OUT
d.91.1.1,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
c.47.1.0,3,50,162,20230,0.00862186348871707,0.111613949334654,0.000373134328358209,0.874632118611817,./generated_files/OUT/OUT
a.2.11.0,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
c.55.7.1,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
c.55.4.2,1,1,162,20230,0.0158258584877494,0.111613949334654,0.000373134328358209,2.09648086822817,./generated_files/OUT/OUT
c.3.1.5,2,15,162,20230,0.00788792275046169,0.111613949334654,0.000373134328358209,1.22141960483647,./generated_files/OUT/OUT
a.132.1.0,1,2,162,20230,0.0236451920299262,0.121863682000389,0.000373134328358209,1.79545087256419,./generated_files/OUT/OUT
b.40.3.0,1,2,162,20230,0.0236451920299262,0.121863682000389,0.000373134328358209,1.79545087256419,./generated_files/OUT/OUT
d.79.3.2,1,2,162,20230,0.0236451920299262,0.121863682000389,0.000373134328358209,1.79545087256419,./generated_files/OUT/OUT
