structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
f.1.4,5,14,162,20230,3.16100946616539e-07,3.31905993947366e-05,0.000476190476190476,1.64932283688595,./generated_files/OUT/OUT
a.77.1,8,92,162,20230,1.33604357350508e-06,7.01422876090167e-05,0.000476190476190476,1.03578302787456,./generated_files/OUT/OUT
c.3.1,5,45,162,20230,4.72166245603113e-05,0.0016525818596109,0.000476190476190476,1.14223835878885,./generated_files/OUT/OUT
d.79.3,3,15,162,20230,0.000367889887369471,0.00965710954344861,0.000476190476190476,1.39751086389215,./generated_files/OUT/OUT
c.4.1,2,5,162,20230,0.0012831769273925,0.0243844495458508,0.000476190476190476,1.69854085955614,./generated_files/OUT/OUT
b.40.3,3,25,162,20230,0.00139339711690576,0.0243844495458508,0.000476190476190476,1.1756621142758,./generated_files/OUT/OUT
d.58.1,2,7,162,20230,0.00217685544494655,0.0326528316741983,0.000476190476190476,1.5524128238779,./generated_files/OUT/OUT
d.15.2,2,15,162,20230,0.00788792275046169,0.092025765422053,0.000476190476190476,1.22141960483647,./generated_files/OUT/OUT
a.74.1,3,47,162,20230,0.00733950383952536,0.092025765422053,0.000476190476190476,0.901504265012119,./generated_files/OUT/OUT
a.4.2,1,1,162,20230,0.0158258584877494,0.0923175078452048,0.000476190476190476,2.09648086822817,./generated_files/OUT/OUT
a.2.11,1,1,162,20230,0.0158258584877494,0.0923175078452048,0.000476190476190476,2.09648086822817,./generated_files/OUT/OUT
a.164.1,1,1,162,20230,0.0158258584877494,0.0923175078452048,0.000476190476190476,2.09648086822817,./generated_files/OUT/OUT
d.91.1,1,1,162,20230,0.0158258584877494,0.0923175078452048,0.000476190476190476,2.09648086822817,./generated_files/OUT/OUT
c.55.7,1,1,162,20230,0.0158258584877494,0.0923175078452048,0.000476190476190476,2.09648086822817,./generated_files/OUT/OUT
d.44.1,1,1,162,20230,0.0158258584877494,0.0923175078452048,0.000476190476190476,2.09648086822817,./generated_files/OUT/OUT
g.3.9,2,21,162,20230,0.0142241818537336,0.0923175078452048,0.000476190476190476,1.07529156915824,./generated_files/OUT/OUT
a.7.4,1,1,162,20230,0.0158258584877494,0.0923175078452048,0.000476190476190476,2.09648086822817,./generated_files/OUT/OUT
b.22.1,3,52,162,20230,0.00954517429883049,0.0923175078452048,0.000476190476190476,0.857598779313037,./generated_files/OUT/OUT
a.24.14,1,2,162,20230,0.0236451920299262,0.0954901985823943,0.000476190476190476,1.79545087256419,./generated_files/OUT/OUT
d.144.1,9,510,162,20230,0.0231077413980529,0.0954901985823943,0.000476190476190476,0.343153201569562,./generated_files/OUT/OUT
e.11.1,1,2,162,20230,0.0236451920299262,0.0954901985823943,0.000476190476190476,1.79545087256419,./generated_files/OUT/OUT
a.132.1,1,2,162,20230,0.0236451920299262,0.0954901985823943,0.000476190476190476,1.79545087256419,./generated_files/OUT/OUT
e.78.1,1,2,162,20230,0.0236451920299262,0.0954901985823943,0.000476190476190476,1.79545087256419,./generated_files/OUT/OUT
d.96.1,1,2,162,20230,0.0236451920299262,0.0954901985823943,0.000476190476190476,1.79545087256419,./generated_files/OUT/OUT
c.47.1,4,131,162,20230,0.0227743117574758,0.0954901985823943,0.000476190476190476,0.581269563900372,./generated_files/OUT/OUT
g.14.1,2,27,162,20230,0.0221293249455219,0.0954901985823943,0.000476190476190476,0.966147099733168,./generated_files/OUT/OUT
a.47.4,1,3,162,20230,0.0314027808715145,0.109909733050301,0.000476190476190476,1.61935961350851,./generated_files/OUT/OUT
d.230.3,1,3,162,20230,0.0314027808715145,0.109909733050301,0.000476190476190476,1.61935961350851,./generated_files/OUT/OUT
b.1.8,1,3,162,20230,0.0314027808715145,0.109909733050301,0.000476190476190476,1.61935961350851,./generated_files/OUT/OUT
b.1.16,1,3,162,20230,0.0314027808715145,0.109909733050301,0.000476190476190476,1.61935961350851,./generated_files/OUT/OUT
b.33.1,1,4,162,20230,0.0390991095697105,0.128293953275613,0.000476190476190476,1.49442087690021,./generated_files/OUT/OUT
c.74.1,1,4,162,20230,0.0390991095697105,0.128293953275613,0.000476190476190476,1.49442087690021,./generated_files/OUT/OUT
d.54.1,1,5,162,20230,0.0467346589026043,0.136309421799263,0.000476190476190476,1.39751086389215,./generated_files/OUT/OUT
c.1.11,1,5,162,20230,0.0467346589026043,0.136309421799263,0.000476190476190476,1.39751086389215,./generated_files/OUT/OUT
b.87.1,1,5,162,20230,0.0467346589026043,0.136309421799263,0.000476190476190476,1.39751086389215,./generated_files/OUT/OUT
a.153.1,1,5,162,20230,0.0467346589026043,0.136309421799263,0.000476190476190476,1.39751086389215,./generated_files/OUT/OUT
c.1.4,1,6,162,20230,0.0543099058984732,0.150066845245781,0.000476190476190476,1.31832961784453,./generated_files/OUT/OUT
c.55.4,1,6,162,20230,0.0543099058984732,0.150066845245781,0.000476190476190476,1.31832961784453,./generated_files/OUT/OUT
a.21.1,2,46,162,20230,0.0557779644206629,0.150171442671016,0.000476190476190476,0.734753032210581,./generated_files/OUT/OUT
b.64.1,1,7,162,20230,0.0618253238648426,0.158333146483133,0.000476190476190476,1.25138282821392,./generated_files/OUT/OUT
d.87.1,1,7,162,20230,0.0618253238648426,0.158333146483133,0.000476190476190476,1.25138282821392,./generated_files/OUT/OUT
d.164.1,1,8,162,20230,0.0692813824173302,0.16165655897377,0.000476190476190476,1.19339088123623,./generated_files/OUT/OUT
g.52.1,1,8,162,20230,0.0692813824173302,0.16165655897377,0.000476190476190476,1.19339088123623,./generated_files/OUT/OUT
g.54.1,1,8,162,20230,0.0692813824173302,0.16165655897377,0.000476190476190476,1.19339088123623,./generated_files/OUT/OUT
a.2.3,2,51,162,20230,0.0664298878494574,0.16165655897377,0.000476190476190476,0.689940687794218,./generated_files/OUT/OUT
b.4.1,1,9,162,20230,0.0766785475082581,0.175027119312328,0.000476190476190476,1.14223835878885,./generated_files/OUT/OUT
