P46527,a,All alpha proteins,a.288,UraD-like,a.288.1,UraD-Like,a.288.1.1,UraD-like,5.86
P46527,g,Small proteins,g.37,beta-beta-alpha zinc fingers,g.37.1,beta-beta-alpha zinc fingers,g.37.1.5,variant C2H2 finger,5.3
P46527,d,Alpha and beta proteins (a+b),d.43,EF-Ts domain-like,d.43.2,Band 7/SPFH domain,d.43.2.1,Band 7/SPFH domain,3.91
P46527,b,All beta proteins,b.55,PH domain-like barrel,b.55.1,PH domain-like,b.55.1.1,Pleckstrin-homology domain (PH domain),2.97
P46527,d,Alpha and beta proteins (a+b),d.73,RuBisCO, small subunit,d.73.1,RuBisCO, small subunit,d.73.1.1,RuBisCO, small subunit,2.19
P46527,c,Alpha and beta proteins (a/b),c.37,P-loop containing nucleoside triphosphate hydrolases,c.37.1,P-loop containing nucleoside triphosphate hydrolases,c.37.1.0,automated matches,2.16
P46527,g,Small proteins,g.3,Knottins (small inhibitors, toxins, lectins),g.3.11,EGF/Laminin,g.3.11.7,Cripto EGF-like domain-like,1.57
P46527,d,Alpha and beta proteins (a+b),d.240,Lesion bypass DNA polymerase (Y-family), little finger domain,d.240.1,Lesion bypass DNA polymerase (Y-family), little finger domain,d.240.1.1,Lesion bypass DNA polymerase (Y-family), little finger domain,1.46
P46527,d,Alpha and beta proteins (a+b),d.293,Phosphoprotein M1, C-terminal domain,d.293.1,Phosphoprotein M1, C-terminal domain,d.293.1.1,Phosphoprotein M1, C-terminal domain,1.45
O95153,b,All beta proteins,b.1,Immunoglobulin-like beta-sandwich,b.1.2,Fibronectin type III,b.1.2.1,Fibronectin type III,97.91
O95153,a,All alpha proteins,a.26,4-helical cytokines,a.26.1,4-helical cytokines,a.26.1.2,Short-chain cytokines,96.4
O95153,b,All beta proteins,b.34,SH3-like barrel,b.34.2,SH3-domain,b.34.2.1,SH3-domain,94.43
O95153,b,All beta proteins,b.34,SH3-like barrel,b.34.2,SH3-domain,b.34.2.0,automated matches,92.65
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.13,Linker histone H1/H5,99.7
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.0,automated matches,85.84
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.14,Forkhead DNA-binding domain,85.38
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.19,Z-DNA binding domain,75.33
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.48,F93-like,55.98
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.61,PadR-like,46.22
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.55,Transcriptional regulator Rrf2,45.38
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.6,GntR-like transcriptional regulators,43.1
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.72,PH0730 N-terminal domain-like,41.55
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.24,Iron-dependent repressor protein,39.83
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.42,FUR-like,37.69
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.5,ArsR-like transcriptional regulators,28.56
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.47,PCI domain (PINT motif),27.13
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.28,MarR-like transcriptional regulators,25.22
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.29,Plant O-methyltransferase, N-terminal domain,24.04
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.62,Hypothetical protein YhgG,23.11
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.4,CAP C-terminal domain-like,22.49
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.7,Replication terminator protein (RTP),22.08
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.1,Biotin repressor-like,22.05
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.11,Helicase DNA-binding domain,21.36
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.49,Archaeal DNA-binding protein,21.08
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.85,RPO3F domain-like,21.06
P07305,a,All alpha proteins,a.4,DNA/RNA-binding 3-helical bundle,a.4.5,"Winged helix" DNA-binding domain,a.4.5.34,SCF ubiquitin ligase complex WHB domain,20.31
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.0,automated matches,99.79
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.10,Glutathione peroxidase-like,99.54
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.24,UAS domain,98.71
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.9,DsbC/DsbG C-terminal domain-like,98.61
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.2,PDI-like,98.5
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.1,Thioltransferase,98.22
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.16,Txnl5-like,97.99
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.7,ERP29 N domain-like,97.92
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.8,spliceosomal protein U5-15Kd,97.56
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.15,KaiB-like,97.11
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.6,Phosducin,97.1
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.13,DsbA-like,96.68
P07203,c,Alpha and beta proteins (a/b),c.47,Thioredoxin fold,c.47.1,Thioredoxin-like,c.47.1.19,Atu2684-like,96.06
Q07108,d,Alpha and beta proteins (a+b),d.169,C-type lectin-like,d.169.1,C-type lectin-like,d.169.1.1,C-type lectin domain,99.56
Q07108,d,Alpha and beta proteins (a+b),d.169,C-type lectin-like,d.169.1,C-type lectin-like,d.169.1.0,automated matches,99.52
Q07108,d,Alpha and beta proteins (a+b),d.169,C-type lectin-like,d.169.1,C-type lectin-like,d.169.1.3,Invasin/intimin cell-adhesion fragment, C-terminal domain,33.41
Q9P2R3,a,All alpha proteins,a.298,Left-handed alpha-alpha superhelix,a.298.1,TAL effector-like,a.298.1.1,TAL (transcription activator-like) effector,100
Q9P2R3,d,Alpha and beta proteins (a+b),d.211,beta-hairpin-alpha-hairpin repeat,d.211.1,Ankyrin repeat,d.211.1.1,Ankyrin repeat,100
Q9P2R3,d,Alpha and beta proteins (a+b),d.211,beta-hairpin-alpha-hairpin repeat,d.211.1,Ankyrin repeat,d.211.1.0,automated matches,99.87
Q9P2R3,d,Alpha and beta proteins (a+b),d.42,POZ domain,d.42.1,POZ domain,d.42.1.0,automated matches,98.75
Q9P2R3,g,Small proteins,g.50,FYVE/PHD zinc finger,g.50.1,FYVE/PHD zinc finger,g.50.1.1,FYVE, a phosphatidylinositol-3-phosphate binding domain,98.36
Q9P2R3,d,Alpha and beta proteins (a+b),d.42,POZ domain,d.42.1,POZ domain,d.42.1.2,Tetramerization domain of potassium channels,98.3
Q9P2R3,g,Small proteins,g.50,FYVE/PHD zinc finger,g.50.1,FYVE/PHD zinc finger,g.50.1.0,automated matches,97.93
Q9P2R3,d,Alpha and beta proteins (a+b),d.42,POZ domain,d.42.1,POZ domain,d.42.1.1,BTB/POZ domain,97.52
P21673,d,Alpha and beta proteins (a+b),d.108,Acyl-CoA N-acyltransferases (Nat),d.108.1,Acyl-CoA N-acyltransferases (Nat),d.108.1.1,N-acetyl transferase, NAT,99.59
P21673,d,Alpha and beta proteins (a+b),d.108,Acyl-CoA N-acyltransferases (Nat),d.108.1,Acyl-CoA N-acyltransferases (Nat),d.108.1.0,automated matches,99.57
P21673,d,Alpha and beta proteins (a+b),d.108,Acyl-CoA N-acyltransferases (Nat),d.108.1,Acyl-CoA N-acyltransferases (Nat),d.108.1.8,AstA-like,99.16
P21673,d,Alpha and beta proteins (a+b),d.108,Acyl-CoA N-acyltransferases (Nat),d.108.1,Acyl-CoA N-acyltransferases (Nat),d.108.1.3,Autoinducer synthetase,99.12
P21673,d,Alpha and beta proteins (a+b),d.108,Acyl-CoA N-acyltransferases (Nat),d.108.1,Acyl-CoA N-acyltransferases (Nat),d.108.1.10,EF1021-like,99.12
P21673,d,Alpha and beta proteins (a+b),d.108,Acyl-CoA N-acyltransferases (Nat),d.108.1,Acyl-CoA N-acyltransferases (Nat),d.108.1.5,Hypothetical protein cg14615-pa,98.97
P21673,d,Alpha and beta proteins (a+b),d.108,Acyl-CoA N-acyltransferases (Nat),d.108.1,Acyl-CoA N-acyltransferases (Nat),d.108.1.4,FemXAB nonribosomal peptidyltransferases,98.25
Q13813,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.5,Calmodulin-like,98.5
Q13813,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.0,automated matches,98.47
Q13813,a,All alpha proteins,a.7,Spectrin repeat-like,a.7.1,Spectrin repeat,a.7.1.1,Spectrin repeat,97.77
Q13813,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.7,EF-hand modules in multidomain proteins,97.13
Q13813,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.4,Parvalbumin,96.53
Q13813,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.1,Calbindin D9K,94.83
P12036,a,All alpha proteins,a.2,Long alpha-hairpin,a.2.5,Prefoldin,a.2.5.1,Prefoldin,73.47
P12036,a,All alpha proteins,a.238,BAR/IMD domain-like,a.238.1,BAR/IMD domain-like,a.238.1.1,BAR domain,61.29
P12036,a,All alpha proteins,a.238,BAR/IMD domain-like,a.238.1,BAR/IMD domain-like,a.238.1.2,Arfaptin, Rac-binding fragment,49.31
P12036,a,All alpha proteins,a.238,BAR/IMD domain-like,a.238.1,BAR/IMD domain-like,a.238.1.0,automated matches,41.44
P12036,a,All alpha proteins,a.7,Spectrin repeat-like,a.7.1,Spectrin repeat,a.7.1.1,Spectrin repeat,35.83
P12036,a,All alpha proteins,a.24,Four-helical up-and-down bundle,a.24.1,Apolipoprotein,a.24.1.1,Apolipoprotein,29.44
P12036,f,Membrane and cell surface proteins and peptides,f.48,OmpH-like,f.48.1,OmpH-like,f.48.1.1,OmpH-like,26.19
Q00722,b,All beta proteins,b.55,PH domain-like barrel,b.55.1,PH domain-like,b.55.1.1,Pleckstrin-homology domain (PH domain),98.79
Q00722,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.7,EF-hand modules in multidomain proteins,97.58
Q00722,b,All beta proteins,b.7,C2 domain-like,b.7.1,C2 domain (Calcium/lipid-binding domain, CaLB),b.7.1.1,PLC-like (P variant),96.63
Q00722,b,All beta proteins,b.7,C2 domain-like,b.7.1,C2 domain (Calcium/lipid-binding domain, CaLB),b.7.1.2,Synaptotagmin-like (S variant),96.43
Q00722,b,All beta proteins,b.7,C2 domain-like,b.7.1,C2 domain (Calcium/lipid-binding domain, CaLB),b.7.1.0,automated matches,96.43
Q00722,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.5,Calmodulin-like,96.41
Q00722,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.0,automated matches,96.17
Q00722,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.18,PLC-like phosphodiesterases,c.1.18.0,automated matches,94.08
Q00722,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.4,Parvalbumin,91.26
Q00722,c,Alpha and beta proteins (a/b),c.1,TIM beta/alpha-barrel,c.1.18,PLC-like phosphodiesterases,c.1.18.3,Glycerophosphoryl diester phosphodiesterase,90.68
Q00722,a,All alpha proteins,a.39,EF Hand-like,a.39.1,EF-hand,a.39.1.1,Calbindin D9K,71.77
P37288,f,Membrane and cell surface proteins and peptides,f.13,Class A G protein-coupled receptor (GPCR)-like,f.13.1,Class A G protein-coupled receptor (GPCR)-like,f.13.1.3,Amine receptor-like,100
P37288,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.43,ATP1G1/PLM/MAT8-like (FXYD-like),f.23.43.1,ATP1G1/PLM/MAT8-like (FXYD-like),5.05
P37288,f,Membrane and cell surface proteins and peptides,f.23,Single transmembrane helix,f.23.28,Preprotein translocase SecE subunit,f.23.28.1,Preprotein translocase SecE subunit,4.23
